"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MX8,MX23,MX49,MX40,MX28,MX18,MX25,MX53,MX37,MX5,MX16,MX15,MX4,MX24,MX60,MX14,MX10,MX54,MX26,MX32,MX20,MX68,MX36,MX12,MX33,MX57,MX43,MX7,MX27,MX48,MX41,MX38,MX6,MX64,MX50,MX9,MX42,MX39,MX52,MX51,MX58,MX2,MX35,MX3,MX34,MX56,MX19,MX29,MX55,MX11,MX72,MX22,MX21,MX13";"SW_Cherry_MX_PCB_1.00u";54;"MX";;;
2;"MX74";"SW_Cherry_MX_PCB_6.25u";1;"6.25";;;
3;"MX71,MX77,MX79,MX66,MX47,MX70,MX63,MX76";"SW_Cherry_MX_PCB_1.25u";8;"1.25";;;
4;"MX73,MX75,MX65,MX62,MX17,MX30";"SW_Cherry_MX_PCB_1.50u";6;"1.5";;;
5;"MX59,MX31";"SW_Cherry_MX_PCB_1.75u";2;"1.75";;;
6;"MX46,MX69,MX44";"SW_Cherry_MX_PCB_2.25u";3;"2.25";;;
7;"MX1";"SW_Cherry_MX_PCB_2.00u";1;"2";;;
8;"MX67,MX61";"SW_Cherry_MX_PCB_2.75u";2;"2.75";;;
9;"MX45";"SW_Cherry_MX_PCB_ISOEnter_Rotated90";1;"iso";;;
10;"MX78";"SW_Cherry_MX_PCB_7.00u";1;"7";;;
11;"MX80";"SW_Cherry_MX_PCB_1.25u";1;"MX";;;
12;"D1,D26,D6,D20,D11,D4,D7,D8,D16,D25,D5,D9,D2,D24,D18,D23,D32,D28,D34,D30,D33,D13,D15,D12,D14,D21,D27,D22,D29,D3,D19,D17,D10,D31";"SOT-23";34;"BAV70";;;
13;"C8,C1";"C_0603_1608Metric";2;"1u";;;
14;"C2,C4,C5,C3";"C_0603_1608Metric";4;"100n";;;
15;"C6,C7";"C_0603_1608Metric";2;"22p";;;
16;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
17;"R2,R1";"R_0603_1608Metric";2;"10k";;;
18;"U1";"QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm_ThermalVias";1;"ATMEGA32U4";;;
19;"J2";"JST-SR-4";1;"Conn_01x04";;;
20;"SW1";"SW_SPST_TL3342";1;"SW_Push";;;
